state,acronym,players
Alaska,AK,0
Alabama,AL,91
Arkansas,AR,15
Arizona,AZ,22
California,CA,224
Colorado,CO,15
Connecticut,CT,9
District of Columbia,DC,6
Delaware,DE,2
Florida,FL,336
Georgia,GA,210
Hawaii,HI,18
Iowa,IA,12
Idaho,ID,3
Illinois,IL,66
Indiana,IN,38
Kansas,KS,15
Kentucky,KY,20
Louisiana,LA,95
Massachusetts,MA,11
Maryland,MD,50
Maine,ME,0
Michigan,MI,72
Minnesota,MN,18
Missouri,MO,27
Mississippi,MS,44
Montana,MT,0
North Carolina,NC,83
North Dakota,ND,1
Nebraska,NE,6
New Hampshire,NH,0
New Jersey,NJ,48
New Mexico,NM,6
Nevada,NV,13
New York,NY,19
Ohio,OH,121
Oklahoma,OK,33
Oregon,OR,14
Pennsylvania,PA,56
Puerto Rico,PR,0
Rhode Island,RI,1
South Carolina,SC,36
South Dakota,SD,1
Tennessee,TN,36
Texas,TX,330
Utah,UT,33
Virginia,VA,58
Vermont,VT,0
Washington,WA,35
Wisconsin,WI,15
West Virginia,WV,5
Wyoming,WY,2